@relation 2018-12-2311-weka.filters.unsupervised.attribute.Remove-R5_clustered

@attribute Instance_number numeric
@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,2.372837,-0.649566,-0.363039,-0.33718,cluster0
1,-0.747396,-0.628776,-0.346003,-0.333215,cluster1
2,0.255597,0.916883,-0.295457,-0.277634,cluster0
3,1.799418,3.093561,2.928827,2.936348,cluster2
4,-0.839781,-0.568369,-0.362638,-0.336336,cluster1
5,-0.693516,-0.562353,-0.343693,-0.325474,cluster1
6,0.862098,1.714229,-0.339357,-0.313532,cluster0
7,-0.839781,-0.568369,-0.362638,-0.336336,cluster1
8,-0.839781,-0.568369,-0.364107,-0.33718,cluster1
9,-0.768103,-0.595859,-0.363005,-0.336363,cluster1
10,0.169216,0.919166,-0.320953,-0.33718,cluster0
11,-0.815275,-0.564179,-0.361168,-0.335802,cluster1
12,-0.747706,-0.626565,-0.261904,-0.32991,cluster1
13,0.893709,1.324303,-0.055918,-0.207243,cluster0
14,0.310733,0.902858,3.363987,3.369072,cluster2
15,-0.768103,-0.595859,-0.363005,-0.336363,cluster1
16,1.145132,-0.568369,-0.320953,-0.33718,cluster0
17,1.711199,-0.649566,-0.320953,-0.33718,cluster0
18,-0.666592,-0.511265,-0.312876,-0.322357,cluster1
19,-0.681723,-0.55761,-0.347396,-0.321521,cluster1
20,-0.364732,-0.027324,-0.13072,-0.17216,cluster1
21,-0.74745,-0.628604,-0.357032,-0.335276,cluster1
