@relation 2018-12-2715-weka.filters.unsupervised.attribute.Remove-R5

@attribute time_ave numeric
@attribute time_sd numeric
@attribute data_ave numeric
@attribute data_sd numeric

@data
58.016949,7.486692,514.576271,217.149109
58.033333,7.425108,232.466667,84.027271
107.583333,232.997482,2452.958333,734.694635
350.5,504.89281,50111.5,82351.394161
1225,0,15574,0
75.954545,28.327592,824.318182,742.217524
71.541667,94.803955,15705.791667,12364.945693
362.25,792.864388,1088.875,1188.212148
58.033333,7.425108,2444.95,282.380442
907.666667,1200.19591,45353.333333,64045.961004
425.5,634.796621,605.25,896.308366
63.4,22.360355,1340.127273,1010.701504
565,0,90,0
106.290323,74.709845,5397.548387,4950.396529
